brand,item,category,meat,price_uah,weight_g,calories_total,protein_total,fat_total,carbs_total,sodium_total,calories,protein_g,fat_g,carbs_g,sodium_mg,price_per_100g,price_per_100kcal,price_per_protein,protein_kcal,fat_kcal,carbs_kcal,macro_kcal,protein_pct,fat_pct,carbs_pct,is_protein,is_fat,is_carb,macro_balance_score,macro_balance,predicted_price,price_difference,price_difference_pct,absolute_price_difference
Mcdonald's,Chicken Fresh Wrap,wrap,Chicken,145,220,505.0,24.0,27.0,40.0,2400.0,229.5,10.9,12.3,18.2,1090.9,65.91,28.71,6.04,96.0,243.0,160.0,499.0,19.238476953907817,48.69739478957916,32.06412825651302,False,False,False,0,Poorly balanced,154.5731063021306,-9.573106302130611,-6.19,9.573106302130611
Mcdonald's,SVII with vegetables and Pork,burger,Pork,165,210,695.0,35.0,50.0,26.0,2700.0,331.0,16.7,23.8,12.4,1285.7,78.57,23.74,4.71,140.0,450.0,104.0,694.0,20.172910662824208,64.84149855907782,14.985590778097983,True,False,False,1,Poorly balanced,229.62389696222618,-64.62389696222618,-28.14,64.62389696222618
Mcdonald's,SVII with Chicken and garlic sauce,burger,Chicken,165,220,596.0,24.0,34.0,50.0,3400.0,270.9,10.9,15.5,22.7,1545.5,75.0,27.68,6.88,96.0,306.0,200.0,602.0,15.946843853820598,50.83056478405316,33.222591362126245,False,False,False,0,Poorly balanced,191.36360979763026,-26.36360979763026,-13.78,26.36360979763026
Mcdonald's,McCrispy Creamy BBQ,burger,Chicken,174,190,460.0,24.0,17.0,52.0,2000.0,242.1,12.6,8.9,27.4,1052.6,91.58,37.83,7.25,96.0,153.0,208.0,457.0,21.00656455142232,33.479212253829324,45.51422319474836,True,False,True,2,Partially balanced,137.34443650985008,36.655563490149916,26.69,36.655563490149916
Mcdonald's,McCrispy Creamy BBQ Deluxe,burger,Chicken,208,200,530.0,27.0,23.0,53.0,2600.0,265.0,13.5,11.5,26.5,1300.0,104.0,39.25,7.7,108.0,207.0,212.0,527.0,20.49335863377609,39.27893738140417,40.22770398481973,True,False,True,2,Partially balanced,164.33292545601626,43.667074543983745,26.57,43.667074543983745
Mcdonald's,Tasty Junior,burger,Beef,102,145,400.0,16.0,24.0,29.0,2000.0,275.9,11.0,16.6,20.0,1379.3,70.34,25.5,6.38,64.0,216.0,116.0,396.0,16.161616161616163,54.54545454545454,29.292929292929294,False,False,False,0,Poorly balanced,110.72931789086667,-8.729317890866668,-7.88,8.729317890866668
Mcdonald's,BigTasty Single,burger,Beef,203,245,625.0,27.0,40.0,38.0,3100.0,255.1,11.0,16.3,15.5,1265.3,82.86,32.48,7.52,108.0,360.0,152.0,620.0,17.419354838709676,58.06451612903226,24.516129032258064,False,False,False,0,Poorly balanced,200.88783964185328,2.112160358146724,1.05,2.112160358146724
Mcdonald's,Double BigTasty,burger,Beef,295,335,880.0,45.0,60.0,39.0,4400.0,262.7,13.4,17.9,11.6,1313.4,88.06,33.52,6.56,180.0,540.0,156.0,876.0,20.54794520547945,61.64383561643836,17.80821917808219,True,False,False,1,Poorly balanced,305.3011562267681,-10.301156226768114,-3.37,10.301156226768114
Mcdonald's,McChicken,burger,Chicken,128,180,448.0,22.3,18.0,49.4,2200.0,248.9,12.4,10.0,27.4,1222.2,71.11,28.57,5.74,89.2,162.0,197.6,448.79999999999995,19.87522281639929,36.09625668449198,44.02852049910874,False,False,True,1,Poorly balanced,133.28871482668623,-5.288714826686231,-3.97,5.288714826686231
Mcdonald's,Hamburger,burger,Beef,65,96,249.0,13.0,8.7,29.0,1100.0,259.4,13.5,9.1,30.2,1145.8,67.71,26.1,5.0,52.0,78.3,116.0,246.3,21.11246447421843,31.7904993909866,47.09703613479496,True,False,True,2,Partially balanced,52.90304704303699,12.096952956963008,22.87,12.096952956963008
Mcdonald's,Cheeseburger,burger,Beef,75,108,298.0,16.0,13.0,29.0,1600.0,275.9,14.8,12.0,26.9,1481.5,69.44,25.17,4.69,64.0,117.0,116.0,297.0,21.548821548821547,39.39393939393939,39.05723905723906,True,False,False,1,Poorly balanced,73.0622586979749,1.9377413020251026,2.65,1.9377413020251026
Mcdonald's,Double Cheeseburger,burger,Beef,128,163,475.0,26.5,27.3,31.1,2500.0,291.4,16.3,16.7,19.1,1533.7,78.53,26.95,4.83,106.0,245.70000000000002,124.4,476.1,22.26423020373871,51.60680529300568,26.12896450325562,True,False,False,1,Poorly balanced,144.7893684962056,-16.78936849620561,-11.6,16.78936849620561
